         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 datapipes.py:1(<module>)
      748    0.000    0.000    0.001    0.000 <frozen os>:841(fsencode)
        1    0.000    0.000    0.001    0.001 response_created_event.py:1(<module>)
      418    0.001    0.000    0.001    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 ImageFilter.py:1(<module>)
      310    0.001    0.000    0.001    0.000 enum.py:956(_check_for_existing_members_)
        1    0.000    0.000    0.001    0.001 core.py:1790(Group)
        2    0.000    0.000    0.001    0.000 file_search_tool_param.py:1(<module>)
      423    0.000    0.000    0.001    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.001    0.001 contract.py:1(<module>)
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1722(_normalize_stix_fontcodes)
        1    0.000    0.000    0.001    0.001 all_models.py:1(<module>)
        1    0.000    0.000    0.001    0.001 locks.py:1(<module>)
      918    0.001    0.000    0.001    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
        1    0.000    0.000    0.001    0.001 Resize.py:1(<module>)
      639    0.001    0.000    0.001    0.000 ctx_mp_python.py:1014(_wrap_specfun)
       12    0.001    0.000    0.001    0.000 {built-in method torch._ops.profiler.}
        1    0.000    0.000    0.001    0.001 Rotate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 azure.py:1(<module>)
        1    0.000    0.000    0.001    0.001 facts.py:1(<module>)
        1    0.000    0.000    0.001    0.001 symbol_database.py:1(<module>)
        1    0.000    0.000    0.001    0.001 skill.py:1(<module>)
        3    0.000    0.000    0.001    0.000 error.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fourier.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_function_call_arguments_delta_event.py:1(<module>)
        2    0.000    0.000    0.001    0.000 main.py:97(set_as_environment_variables)
      197    0.000    0.000    0.001    0.000 iterables.py:585(sift)
      103    0.000    0.000    0.001    0.000 lexer.py:415(read_name)
        1    0.000    0.000    0.001    0.001 client.py:118(TextToSpeechLongAudioSynthesizeClient)
   218/16    0.000    0.000    0.001    0.000 copy.py:118(deepcopy)
     1624    0.001    0.000    0.001    0.000 typing.py:485(__getattr__)
     2013    0.001    0.000    0.001    0.000 inspect.py:485(isframe)
        1    0.000    0.000    0.001    0.001 response_reasoning_summary_text_delta_event.py:1(<module>)
      149    0.000    0.000    0.001    0.000 weakref.py:164(__setitem__)
       66    0.000    0.000    0.001    0.000 decorators.py:46(deco)
        3    0.000    0.000    0.001    0.000 activation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 complexfield.py:48(__init__)
        1    0.000    0.000    0.001    0.001 _simple_stubs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_input_image_content.py:1(<module>)
        1    0.000    0.000    0.001    0.001 LumContrast.py:1(<module>)
       80    0.000    0.000    0.001    0.000 __init__.py:695(mtime)
     2140    0.001    0.000    0.001    0.000 _ops.py:57(__init__)
        1    0.000    0.000    0.001    0.001 _decoders.py:1(<module>)
     1874    0.001    0.000    0.001    0.000 wrappers.py:396(<lambda>)
        1    0.000    0.000    0.001    0.001 _schema_gather.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interval_arithmetic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string_check_grader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
       19    0.000    0.000    0.001    0.000 arrayprint.py:564(wrapper)
        1    0.000    0.000    0.001    0.001 instantiator.py:128(instantiate_non_scriptable_remote_module_template)
        1    0.000    0.000    0.001    0.001 computer_use_preview_tool.py:1(<module>)
      484    0.000    0.000    0.001    0.000 __init__.py:781(__getitem__)
        1    0.000    0.000    0.001    0.001 score_model_grader_param.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickletools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_audio_delta_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_function_call_arguments_done_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_image_gen_call_in_progress_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_web_search_call_searching_event.py:1(<module>)
       74    0.000    0.000    0.001    0.000 module.py:2642(_named_members)
        1    0.000    0.000    0.001    0.001 instantiator.py:68(_do_instantiate_remote_module_template)
     1120    0.001    0.000    0.001    0.000 _compiler.py:575(isstring)
        1    0.000    0.000    0.001    0.001 statistics.py:1(<module>)
     3497    0.001    0.000    0.001    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.001    0.001 transform_observation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dataset.py:1(<module>)
        2    0.000    0.000    0.001    0.000 retry.py:1(<module>)
      306    0.001    0.000    0.001    0.000 {method 'storage_offset' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.001    0.001 resource_tracker.py:1(<module>)
        3    0.000    0.000    0.001    0.000 main.py:75(dict)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2382(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 operator_support.py:1(<module>)
        1    0.000    0.000    0.001    0.001 Loop.py:1(<module>)
        1    0.000    0.000    0.001    0.001 inline_skill_source.py:1(<module>)
        1    0.000    0.000    0.001    0.001 code_template.py:1(<module>)
        1    0.000    0.000    0.001    0.001 combsimp.py:1(<module>)
        7    0.000    0.000    0.001    0.000 argparse.py:1451(add_argument)
        1    0.000    0.000    0.001    0.001 particle_viewer.py:1(<module>)
        1    0.000    0.000    0.001    0.001 matadd.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mutable_ndim_array.py:1(<module>)
        1    0.000    0.000    0.001    0.001 figure.py:118(FigureBase)
       32    0.000    0.000    0.001    0.000 <frozen _collections_abc>:494(__getitem__)
        1    0.000    0.000    0.001    0.001 diagonal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 AudioFadeIn.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_computer_tool_call_output_screenshot.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_mcp_list_tools_in_progress_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 s3_handler.py:39(S3Handler)
        1    0.000    0.000    0.001    0.001 response_mcp_list_tools_failed_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 batch_error.py:1(<module>)
       56    0.000    0.000    0.001    0.000 typing_extensions.py:1788(__new__)
        2    0.000    0.000    0.001    0.000 main.py:289(resolve_variables)
      623    0.000    0.000    0.001    0.000 _decorators.py:519(update_from_config)
        3    0.000    0.000    0.001    0.000 __init__.py:289(select)
        1    0.000    0.000    0.001    0.001 response_file_search_call_completed_event.py:1(<module>)
      296    0.000    0.000    0.001    0.000 _generate_schema.py:2545(apply_model_validators)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _python_package_support.py:202(check_dependency_versions)
        1    0.000    0.000    0.001    0.001 response_code_interpreter_call_code_delta_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timeouts.py:1(<module>)
       66    0.000    0.000    0.001    0.000 decorators.py:52(__sympifyit)
        1    0.000    0.000    0.001    0.001 response_code_interpreter_call_interpreting_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 links.py:1(<module>)
      971    0.001    0.000    0.001    0.000 typing.py:971(__hash__)
       92    0.000    0.000    0.001    0.000 sym_node.py:1317(capture_provenance)
        1    0.000    0.000    0.001    0.001 response_refusal_delta_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 galoisgroups.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_format_text_grammar.py:1(<module>)
       46    0.000    0.000    0.001    0.000 contextlib.py:543(_push_cm_exit)
        1    0.000    0.000    0.001    0.001 assistant_tool_choice_param.py:1(<module>)
        1    0.000    0.000    0.001    0.001 MakeLoopable.py:1(<module>)
       12    0.000    0.000    0.001    0.000 profiler.py:787(__init__)
        1    0.000    0.000    0.001    0.001 code_template.py:23(CodeTemplate)
        2    0.000    0.000    0.001    0.000 _python_package_support.py:104(warn_deprecation_for_versions_less_than)
     3906    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.001    0.001 error_object.py:1(<module>)
        1    0.000    0.000    0.001    0.001 routeddecoder.py:1(<module>)
      428    0.001    0.000    0.001    0.000 libmpf.py:291(from_man_exp)
        1    0.000    0.000    0.001    0.001 idtracking.py:1(<module>)
      100    0.000    0.000    0.001    0.000 __init__.py:294(<genexpr>)
        1    0.000    0.000    0.001    0.001 _http_client.py:1(<module>)
  239/184    0.000    0.000    0.001    0.000 __init__.py:356(<genexpr>)
        1    0.000    0.000    0.001    0.001 input_token_count_params.py:1(<module>)
      576    0.000    0.000    0.001    0.000 _tensor.py:1225(__hash__)
     3789    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        1    0.000    0.000    0.001    0.001 response_code_interpreter_call_code_done_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ring_series.py:1(<module>)
      635    0.000    0.000    0.001    0.000 __init__.py:234(_acquireLock)
     1413    0.001    0.000    0.001    0.000 _generate_schema.py:982(<genexpr>)
      706    0.001    0.000    0.001    0.000 _config_module.py:79(__post_init__)
        2    0.000    0.000    0.001    0.000 _python_package_support.py:76(get_dependency_version)
      979    0.001    0.000    0.001    0.000 enum.py:202(__get__)
        3    0.000    0.000    0.001    0.000 autocast_mode.py:1(<module>)
        2    0.000    0.000    0.001    0.000 wandb_sync_pb2.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2306(__init__)
        1    0.000    0.000    0.001    0.001 response_output_item_added_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _mask_buffer.py:1(<module>)
      706    0.001    0.000    0.001    0.000 _config_module.py:302(__init__)
        1    0.000    0.000    0.001    0.001 response_mcp_call_arguments_done_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_image_gen_call_generating_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 clip_grad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tool.py:112(Mcp)
        1    0.000    0.000    0.001    0.001 print.py:1(<module>)
       29    0.000    0.000    0.001    0.000 _file_info.py:147(ready)
        1    0.000    0.000    0.001    0.001 response_image_gen_call_completed_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 runtime.py:394(LoopContext)
    79/78    0.000    0.000    0.001    0.000 typing.py:1603(__repr__)
        1    0.000    0.000    0.001    0.001 response_local_environment.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _status_codes.py:8(codes)
        1    0.000    0.000    0.001    0.001 response_in_progress_event.py:1(<module>)
      129    0.000    0.000    0.001    0.000 trace_rules.py:3111(__call__)
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
      276    0.000    0.000    0.001    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.001    0.001 completion_choice.py:11(Logprobs)
        1    0.000    0.000    0.001    0.001 vectorize_reward.py:1(<module>)
       23    0.001    0.000    0.001    0.000 std.py:399(format_interval)
      687    0.001    0.000    0.001    0.000 _ops.py:1212(overloads)
       27    0.000    0.000    0.001    0.000 core.py:6421(__init__)
        1    0.000    0.000    0.001    0.001 _exec_order_utils.py:1(<module>)
       11    0.000    0.000    0.001    0.000 _utils.py:336(smart_deepcopy)
        1    0.000    0.000    0.001    0.001 response_failed_event.py:1(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:99(load_first_config)
      105    0.000    0.000    0.001    0.000 __init__.py:336(wrapper)
       37    0.000    0.000    0.001    0.000 textwrap.py:470(indent)
       19    0.001    0.000    0.001    0.000 arrayprint.py:1697(_guarded_repr_or_str)
       36    0.000    0.000    0.001    0.000 trace_rules.py:3131(remove)
     2690    0.001    0.000    0.001    0.000 enum.py:251(__init__)
      363    0.000    0.000    0.001    0.000 __init__.py:314(_from_text)
        1    0.000    0.000    0.001    0.001 cloud_tts_lrs.py:1(<module>)
       45    0.000    0.000    0.001    0.000 symbolic_helper.py:1850(_apply)
        1    0.000    0.000    0.001    0.001 values.py:1(<module>)
      515    0.000    0.000    0.001    0.000 _typing_extra.py:67(is_hashable)
        1    0.000    0.000    0.001    0.001 image_file_delta.py:1(<module>)
        1    0.000    0.000    0.001    0.001 path_template.py:1(<module>)
        1    0.000    0.000    0.001    0.001 passthrough.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_code_interpreter_call_completed_event.py:1(<module>)
        2    0.000    0.000    0.001    0.000 rendering.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ask.py:21(AssumptionKeys)
        1    0.000    0.000    0.001    0.001 _launch_add.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subclass_utils.py:1(<module>)
     3767    0.001    0.000    0.001    0.000 typing.py:2187(cast)
        1    0.000    0.000    0.001    0.001 saved_model.py:1(<module>)
       10    0.000    0.000    0.001    0.000 functional.py:48(broadcast_tensors)
      151    0.001    0.000    0.001    0.000 weakref.py:568(__init__)
        1    0.000    0.000    0.001    0.001 assistant_update_params.py:1(<module>)
      512    0.000    0.000    0.001    0.000 _typing_extra.py:143(is_finalvar)
        3    0.000    0.000    0.001    0.000 grad_scaler.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_mcp_call_in_progress_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lazy.py:234(_populate)
        1    0.000    0.000    0.001    0.001 filelister.py:1(<module>)
        1    0.000    0.000    0.001    0.001 app.py:282(__init__)
        1    0.000    0.000    0.001    0.001 chat_completion_audio.py:1(<module>)
       15    0.000    0.000    0.001    0.000 infer_schema.py:247(<genexpr>)
        1    0.000    0.000    0.001    0.001 api.py:194(ShardedTensor)
        1    0.000    0.000    0.001    0.001 libintmath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _package_pickler.py:1(<module>)
        2    0.000    0.000    0.001    0.000 qconfig.py:1(<module>)
        1    0.000    0.000    0.001    0.001 images_response.py:51(ImagesResponse)
      150    0.000    0.000    0.001    0.000 grad_mode.py:84(__exit__)
        1    0.000    0.000    0.001    0.001 _enums.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cache_size.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _file_info.py:82(generate_file_pb)
        1    0.000    0.000    0.001    0.001 wintypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_mcp_call_completed_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 moderation.py:93(CategoryAppliedInputTypes)
        1    0.000    0.000    0.001    0.001 variables.py:1(<module>)
       23    0.000    0.000    0.001    0.000 scanner.py:1270(scan_plain)
        1    0.000    0.000    0.001    0.001 response_output_item_done_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 instantiator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_container_reference.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fully_sharded_data_parallel.py:117(FullyShardedDataParallel)
        1    0.000    0.000    0.001    0.001 thread_deleted.py:1(<module>)
    56/16    0.000    0.000    0.001    0.000 copy.py:217(_deepcopy_dict)
        1    0.000    0.000    0.001    0.001 response_mcp_call_failed_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_web_search_call_in_progress_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 file_search_tool_call_delta.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_web_search_call_completed_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 eval_custom_data_source_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 asgi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 Crop.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_file_search_call_in_progress_event.py:1(<module>)
       38    0.000    0.000    0.001    0.000 transforms.py:1325(__init_subclass__)
      637    0.001    0.000    0.001    0.000 typing_extensions.py:3105(_check_generic)
     4552    0.001    0.000    0.001    0.000 inspect.py:3089(parameters)
        1    0.000    0.000    0.001    0.001 assistant_deleted.py:1(<module>)
      180    0.000    0.000    0.001    0.000 cm.py:94(__getitem__)
        1    0.000    0.000    0.001    0.001 v2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
      516    0.001    0.000    0.001    0.000 traceback.py:327(walk_stack)
        2    0.000    0.000    0.001    0.000 load_config_py3.py:6(exec_file_wrapper)
     2888    0.001    0.000    0.001    0.000 dataclasses.py:1142(<genexpr>)
      310    0.001    0.000    0.001    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.001    0.001 response_input_text.py:1(<module>)
        1    0.000    0.000    0.001    0.001 symbolic.py:61(SymbolicReference)
        1    0.000    0.000    0.001    0.001 core.py:2017(Parameter)
        1    0.000    0.000    0.001    0.001 client_pb2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 artifact_collection.py:16(ArtifactCollectionData)
        1    0.000    0.000    0.001    0.001 response_mcp_list_tools_completed_event.py:1(<module>)
       50    0.001    0.000    0.001    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
     2521    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.001    0.001 parser.py:48(Parser)
        1    0.000    0.000    0.001    0.001 image_file.py:1(<module>)
      763    0.001    0.000    0.001    0.000 _generics.py:227(get_model_typevars_map)
        1    0.000    0.000    0.001    0.001 response_error.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tool_choice_mcp.py:1(<module>)
       24    0.000    0.000    0.001    0.000 utils.py:273(_is_ascii)
        1    0.000    0.000    0.001    0.001 vector_env.py:1(<module>)
        2    0.000    0.000    0.001    0.000 loss.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_code_interpreter_call_in_progress_event.py:1(<module>)
       76    0.000    0.000    0.001    0.000 dataclasses.py:1540(replace)
        1    0.000    0.000    0.001    0.001 densebasic.py:1(<module>)
     5214    0.001    0.000    0.001    0.000 inspect.py:2800(default)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 well_known_types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_queued_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 service_token.py:1(<module>)
       49    0.000    0.000    0.001    0.000 decompositions.py:58(type_casts)
        2    0.000    0.000    0.001    0.000 spawn.py:1(<module>)
      310    0.000    0.000    0.001    0.000 function_base.py:473(_add_docstring)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
       56    0.000    0.000    0.001    0.000 decorator.py:233(memoize_property)
        1    0.000    0.000    0.001    0.001 spherical_harmonics.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _debug_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 file_deleted.py:1(<module>)
       24    0.000    0.000    0.001    0.000 init.py:214(uniform_)
        2    0.000    0.000    0.001    0.000 threading.py:975(start)
     1798    0.000    0.000    0.001    0.000 inspect.py:499(iscode)
        1    0.000    0.000    0.001    0.001 interface_sock.py:1(<module>)
       53    0.000    0.000    0.001    0.000 __init__.py:928(__init__)
       41    0.000    0.000    0.001    0.000 enum.py:1550(__or__)
        1    0.000    0.000    0.001    0.001 AudioFadeOut.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_format_text_python.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ast.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _io.py:1(<module>)
        3    0.000    0.000    0.001    0.000 ctx_mp.py:96(init_builtins)
        1    0.000    0.000    0.001    0.001 response_completed_event.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2219(get_type_hints)
        1    0.000    0.000    0.001    0.001 meijerint.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _funcs.py:21(_public_functions)
        1    0.000    0.000    0.001    0.001 vector_store_deleted.py:1(<module>)
      306    0.001    0.000    0.001    0.000 {method 'stride' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.001    0.001 response_audio_transcript_done_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ns_types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _triinterpolate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 AudioClip.py:20(AudioClip)
       30    0.000    0.000    0.001    0.000 library.py:670(_)
       95    0.000    0.000    0.001    0.000 sympify.py:124(sympify)
       26    0.000    0.000    0.001    0.000 _jit_internal.py:121(_qualified_name)
        2    0.000    0.000    0.001    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 image_url_delta.py:1(<module>)
      237    0.000    0.000    0.001    0.000 libmpf.py:330(from_int)
        1    0.000    0.000    0.001    0.001 response_function_web_search_param.py:1(<module>)
      874    0.001    0.000    0.001    0.000 typing.py:1629(_value_and_type_iter)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1808(Parser)
        1    0.000    0.000    0.001    0.001 ImageMode.py:1(<module>)
       69    0.000    0.000    0.001    0.000 symbolic_helper.py:436(decorator)
      141    0.000    0.000    0.001    0.000 inspect.py:402(isgeneratorfunction)
        3    0.000    0.000    0.001    0.000 functions.py:1423(make_opaque_bitwise_fn)
        1    0.000    0.000    0.001    0.001 parsed_response.py:62(ParsedResponseFunctionToolCall)
       36    0.000    0.000    0.001    0.000 lazy.py:222(_create_realize_and_forward)
        1    0.000    0.000    0.001    0.001 container_reference.py:1(<module>)
        1    0.000    0.000    0.001    0.001 transformed_distribution.py:1(<module>)
     1193    0.001    0.000    0.001    0.000 {built-in method torch._C._add_docstr}
        1    0.000    0.000    0.001    0.001 primitives.py:1(<module>)
        1    0.000    0.000    0.001    0.001 response_audio_done_event.py:1(<module>)
        8    0.000    0.000    0.001    0.000 gettext.py:616(gettext)
      129    0.000    0.000    0.001    0.000 _pytree.py:1111(__init__)
        2    0.000    0.000    0.001    0.000 wandb_settings.py:1991(update_from_settings)
     3066    0.001    0.000    0.001    0.000 dataclasses.py:697(_is_kw_only)
        1    0.000    0.000    0.001    0.001 api.py:83(RetryingClient)
        1    0.000    0.000    0.001    0.001 AudioLoop.py:1(<module>)
        1    0.000    0.000    0.001    0.001 default.py:1(<module>)
        1    0.000    0.000    0.001    0.001 imshow_manager.py:1(<module>)
        8    0.000    0.000    0.001    0.000 gettext.py:578(dgettext)
        1    0.000    0.000    0.001    0.001 response_audio_transcript_delta_event.py:1(<module>)
        3    0.000    0.000    0.001    0.000 sharedctypes.py:148(make_property)
   193/93    0.000    0.000    0.001    0.000 core.py:2185(__str__)
        1    0.000    0.000    0.001    0.001 tty.py:1(<module>)
        4    0.000    0.000    0.001    0.000 decorators.py:127(use_clip_fps_by_default)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        3    0.000    0.000    0.001    0.000 wrappers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message_deleted.py:1(<module>)
      965    0.000    0.000    0.001    0.000 dataclasses.py:643(<genexpr>)
        1    0.000    0.000    0.001    0.001 video_delete_response.py:1(<module>)
        2    0.000    0.000    0.001    0.000 wandb_settings.py:1982(update_from_dict)
        1    0.000    0.000    0.001    0.001 skill_reference.py:1(<module>)
       30    0.000    0.000    0.001    0.000 pathlib.py:200(_select_from)
    45/44    0.000    0.000    0.001    0.000 _migration.py:264(wrapper)
      109    0.000    0.000    0.001    0.000 _generate_schema.py:347(__init__)
        1    0.000    0.000    0.001    0.001 scatter_gather.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _dtypes_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linsolve.py:1(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       19    0.000    0.000    0.001    0.000 path.py:99(__init__)
      236    0.000    0.000    0.001    0.000 core_schema.py:4068(definition_reference_schema)
       92    0.000    0.000    0.001    0.000 core.py:2673(__init__)
        1    0.000    0.000    0.001    0.001 MultiplyStereoVolume.py:1(<module>)
     3790    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:990(create_module)
        1    0.000    0.000    0.001    0.001 dlpack.py:1(<module>)
      115    0.000    0.000    0.001    0.000 _ops.py:832(__str__)
        1    0.000    0.000    0.001    0.001 dispatcher.py:1(<module>)
      276    0.001    0.000    0.001    0.000 feedparser.py:52(__init__)
     3778    0.001    0.000    0.001    0.000 <string>:2(is_final)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nccl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message_delta_event.py:1(<module>)
      753    0.001    0.000    0.001    0.000 {built-in method pydantic_core._pydantic_core.to_jsonable_python}
        1    0.000    0.000    0.001    0.001 galoistools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 beta.py:1(<module>)
      306    0.001    0.000    0.001    0.000 storage.py:1232(_pickle_storage_type)
        1    0.000    0.000    0.001    0.001 tokenizer_cases.py:47(other_punctuation)
        3    0.000    0.000    0.001    0.000 tag.py:1(<module>)
       15    0.000    0.000    0.001    0.000 __init__.py:199(split)
        1    0.000    0.000    0.001    0.001 moderation_create_response.py:1(<module>)
       35    0.000    0.000    0.001    0.000 core.py:3436(__init__)
        1    0.000    0.000    0.001    0.001 response_incomplete_event.py:1(<module>)
        1    0.000    0.000    0.001    0.001 run_step.py:49(RunStep)
        1    0.000    0.000    0.001    0.001 code_interpreter_logs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rng_prims.py:155(__init__)
      184    0.000    0.000    0.001    0.000 colors.py:998(copy)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 internal_api.py:198(Api)
        1    0.000    0.000    0.001    0.001 AccelDecel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _argmin_argmax.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _private.py:1(<module>)
        1    0.000    0.000    0.001    0.001 while_loop.py:33(__init__)
        1    0.000    0.000    0.001    0.001 path_planner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 chat_completion_deleted.py:1(<module>)
        1    0.000    0.000    0.001    0.001 input_token_count_response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 local.py:1(<module>)
        1    0.000    0.000    0.001    0.001 computer_tool.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bernoulli.py:1(<module>)
        1    0.000    0.000    0.001    0.001 certs.py:1(<module>)
        8    0.000    0.000    0.001    0.000 gettext.py:519(translation)
        1    0.000    0.000    0.001    0.001 MultiplySpeed.py:1(<module>)
    18/17    0.000    0.000    0.001    0.000 parser.py:394(parse_value_literal)
        1    0.000    0.000    0.001    0.001 std.py:244(tqdm)
        1    0.000    0.000    0.001    0.001 node.py:233(Node)
      677    0.000    0.000    0.001    0.000 _generate_schema.py:2536(_convert_to_aliases)
      421    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     1069    0.000    0.000    0.001    0.000 <frozen os>:795(decode)
     10/4    0.000    0.000    0.001    0.000 core.py:4848(streamline)
       24    0.000    0.000    0.001    0.000 init.py:69(_no_grad_uniform_)
        4    0.000    0.000    0.001    0.000 sparse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 batch.py:22(Batch)
      262    0.000    0.000    0.001    0.000 utils.py:50(parse_namespace)
       20    0.000    0.000    0.001    0.000 __init__.py:415(<genexpr>)
        1    0.000    0.000    0.001    0.001 eval_delete_response.py:1(<module>)
       19    0.000    0.000    0.001    0.000 std.py:102(acquire)
       10    0.000    0.000    0.001    0.000 container.py:115(__init__)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       61    0.001    0.000    0.001    0.000 std.py:230(__call__)
        1    0.000    0.000    0.001    0.001 fake_class_registry.py:1(<module>)
