         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3906/3885    0.009    0.000    0.636    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      102    0.002    0.000    0.630    0.006 _docs_extraction.py:52(_extract_source_from_frame)
  3504756    0.619    0.000    0.619    0.000 {built-in method math.cos}
     3789    0.154    0.000    0.617    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.609    0.609 pyplot.py:1(<module>)
      743    0.002    0.000    0.600    0.001 dataclasses.py:1264(wrap)
      743    0.034    0.000    0.598    0.001 dataclasses.py:921(_process_class)
   210/64    0.010    0.000    0.597    0.009 _ops.py:292(py_impl)
  3486697    0.591    0.000    0.591    0.000 cell_states.py:6(encode_cell)
    15060    0.586    0.000    0.586    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  3504756    0.586    0.000    0.586    0.000 {built-in method math.sin}
    36372    0.015    0.000    0.559    0.000 __init__.py:333(locate)
    36372    0.035    0.000    0.544    0.000 __init__.py:823(locate_file)
       10    0.530    0.053    0.530    0.053 {built-in method torch.stack}
    77/67    0.000    0.000    0.524    0.008 <frozen importlib._bootstrap_external>:1291(create_module)
    77/67    0.476    0.006    0.508    0.008 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.488    0.488 symbolic_shapes.py:1(<module>)
      6/5    0.000    0.000    0.462    0.092 _ops.py:300(py_autograd_impl)
     3789    0.455    0.000    0.455    0.000 {built-in method marshal.loads}
     13/8    0.000    0.000    0.443    0.055 _ops.py:156(py_functionalize_impl)
      127    0.001    0.000    0.431    0.003 library.py:179(_register_fake)
    71130    0.057    0.000    0.429    0.000 pathlib.py:702(parts)
        1    0.000    0.000    0.426    0.426 eval_create_params.py:1(<module>)
        1    0.000    0.000    0.415    0.415 multi_grader.py:1(<module>)
        1    0.000    0.000    0.414    0.414 _fully_shard.py:1(<module>)
        1    0.000    0.000    0.413    0.413 _fsdp_init.py:1(<module>)
        6    0.000    0.000    0.408    0.068 lr_scheduler.py:162(wrapper)
        6    0.001    0.000    0.408    0.068 optimizer.py:505(wrapper)
        1    0.000    0.000    0.406    0.406 label_model_grader.py:1(<module>)
       18    0.001    0.000    0.404    0.022 util.py:1(<module>)
        6    0.000    0.000    0.404    0.067 optimizer.py:60(_use_grad)
        1    0.000    0.000    0.404    0.404 grader_inputs.py:1(<module>)
        6    0.000    0.000    0.403    0.067 adam.py:214(step)
        1    0.000    0.000    0.399    0.399 rendering.py:237(__init__)
      127    0.001    0.000    0.392    0.003 fake_impl.py:34(register)
      106    0.004    0.000    0.387    0.004 artist.py:158(_update_set_signature_and_docstring)
        6    0.000    0.000    0.385    0.064 optimizer.py:132(maybe_fallback)
        6    0.001    0.000    0.385    0.064 adam.py:902(adam)
    14/12    0.000    0.000    0.385    0.032 main.py:888(__class_getitem__)
